location,size,total_sqft,bath,price,BHK
Panathur,2 BHK,1198.0,2.0,82.0,2.0
 Devarachikkanahalli,3 Bedroom,1200.0,3.0,160.0,3.0
Nelamangala,4 Bedroom,2600.0,3.0,95.0,4.0
Thigalarapalya,3 BHK,2072.0,4.0,139.0,3.0
Pattandur Agrahara,2 BHK,797.0,2.0,32.0,2.0
Nayandanahalli,3 BHK,1350.0,2.0,68.0,3.0
Sahakara Nagar,4 BHK,2500.0,4.0,200.0,4.0
Thigalarapalya,3 BHK,2215.0,4.0,160.0,3.0
Kanakpura Road,1 BHK,525.0,1.0,30.0,1.0
Bannerghatta Road,4 BHK,2700.0,4.0,260.0,4.0
Gokaula Extension,3 BHK,1500.0,2.0,90.0,3.0
Subash Nagar,2 Bedroom,900.0,2.0,55.0,2.0
Poorna Pragna Layout,3 BHK,1355.0,2.0,58.27,3.0
Kudlu Gate,3 BHK,1465.0,2.0,49.81,3.0
Ramamurthy Nagar,2 Bedroom,1006.0,2.0,57.0,2.0
Vishveshwarya Layout,4 BHK,2000.0,4.0,75.0,4.0
Electronic City,2 BHK,1128.0,2.0,65.7,2.0
Pattanagere,2 BHK,850.0,2.0,35.0,2.0
ISRO Layout,3 BHK,1310.0,2.0,68.0,3.0
Banashankari,2 BHK,1390.0,2.0,86.0,2.0
Kathriguppe,3 BHK,1390.0,2.0,76.45,3.0
Marathahalli,4 Bedroom,2396.0,4.0,325.0,4.0
Electronic City,2 BHK,1170.0,2.0,33.0,2.0
Gottigere,3 BHK,1385.0,2.0,50.0,3.0
Old Madras Road,2 BHK,1160.0,2.0,42.0,2.0
Electronic City Phase II,2 BHK,1160.0,2.0,33.5,2.0
Bannerghatta Road,3 BHK,1200.0,2.0,69.0,3.0
Mahadevpura,2 BHK,1475.0,2.0,55.0,2.0
Sarjapur  Road,3 Bedroom,1939.0,3.0,98.0,3.0
7th Phase JP Nagar,2 BHK,850.0,2.0,42.0,2.0
Balagere,1 BHK,675.0,1.0,45.0,1.0
Electronic City,2 BHK,1060.0,2.0,51.0,2.0
Whitefield,2 BHK,1235.0,2.0,47.0,2.0
RTO ullalu,2 Bedroom,600.0,4.0,110.0,2.0
Austin Town,2 BHK,1250.0,2.0,60.0,2.0
Banashankari,2 BHK,1460.0,2.0,70.0,2.0
Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3.0
Indira Nagar,1 BHK,850.0,1.0,57.0,1.0
Kanakpura Road,3 BHK,1843.0,3.0,82.0,3.0
7th Phase JP Nagar,3 BHK,1680.0,3.0,117.0,3.0
Kundalahalli,2 BHK,1047.0,2.0,84.0,2.0
8th Phase JP Nagar,2 BHK,1100.0,2.0,35.0,2.0
Indira Nagar,8 Bedroom,3250.0,8.0,600.0,8.0
Nagarbhavi,2 BHK,1120.0,2.0,53.0,2.0
Raja Rajeshwari Nagar,2 BHK,1095.0,2.0,38.33,2.0
Carmelaram,2 BHK,970.0,2.0,35.0,2.0
Bommanahalli,5 Bedroom,1200.0,7.0,125.0,5.0
Hosa Road,3 BHK,1100.0,2.0,85.0,3.0
Uttarahalli,3 BHK,1685.0,3.0,85.0,3.0
Doddanekundi,2 BHK,1148.0,2.0,59.0,2.0
Marathahalli,2 BHK,1050.0,2.0,65.0,2.0
Bannerghatta Road,3 BHK,1465.0,2.0,76.0,3.0
Kothanur,4 Bedroom,3401.0,5.0,230.0,4.0
Electronic City,1 BHK,630.0,1.0,60.0,1.0
7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3.0
Vidyaranyapura,9 Bedroom,1200.0,9.0,175.0,9.0
Cottonpet,4 Bedroom,1750.0,2.0,225.0,4.0
Shikaripalya,3 BHK,1350.0,3.0,60.0,3.0
Sector 7 HSR Layout,3 BHK,1760.0,3.0,160.0,3.0
Rajaji Nagar,2 BHK,1440.0,2.0,185.0,2.0
Banashankari Stage III,2 BHK,1200.0,2.0,42.0,2.0
Hennur Bande,2 BHK,1100.0,2.0,78.0,2.0
Kaggadasapura,2 BHK,1140.0,2.0,46.0,2.0
Hormavu,3 BHK,1617.5,3.0,73.595,3.0
Gottigere,2 BHK,1410.0,2.0,45.0,2.0
Mahadevpura,3 BHK,1434.0,2.0,67.39,3.0
"ravindra nagar, T.dasarahalli peenya",2 Bedroom,1180.0,2.0,74.0,2.0
Begur Road,2 BHK,1160.0,2.0,42.0,2.0
EPIP Zone,2 BHK,1343.0,2.0,86.0,2.0
LB Shastri Nagar,2 BHK,1184.0,2.0,69.0,2.0
Koramangala,3 BHK,2246.0,3.0,300.0,3.0
Rajankunte,3 Bedroom,4510.0,4.0,200.0,3.0
Banashankari Stage III,3 BHK,1305.0,2.0,59.0,3.0
Sarjapur  Road,4 BHK,3785.0,5.0,280.0,4.0
1st Block BEL Layout,3 BHK,1540.0,3.0,85.0,3.0
Kanakpura Road,3 BHK,1550.0,3.0,65.11,3.0
Yelahanka,3 BHK,1345.0,2.0,57.0,3.0
Electronic City Phase II,3 BHK,975.0,2.0,45.0,3.0
HSR Layout,2 BHK,1140.0,2.0,46.0,2.0
JP Nagar,2 BHK,1152.0,2.0,34.56,2.0
Old Airport Road,4 Bedroom,3200.0,4.0,700.0,4.0
Kodathi,3 BHK,1033.0,2.0,31.5,3.0
Richards Town,3 BHK,1800.0,3.0,230.0,3.0
Marathahalli,2 BHK,1102.0,2.0,53.67,2.0
Subramanyapura,3 BHK,1223.0,2.0,42.81,3.0
Kadugodi,3 BHK,1762.0,3.0,112.0,3.0
Kengeri Satellite Town,2 BHK,560.0,2.0,16.6,2.0
KR Puram,6 Bedroom,2000.0,6.0,85.0,6.0
Electronic City,3 BHK,1410.0,2.0,38.0,3.0
Thanisandra,3 BHK,1853.0,3.0,64.86,3.0
Kothanur,2 BHK,1455.0,2.0,69.0,2.0
Hebbal,2 BHK,1138.0,2.0,110.0,2.0
Sarjapur  Road,3 Bedroom,2556.0,3.0,169.0,3.0
TC Palaya,3 BHK,1200.0,2.0,66.5,3.0
Anantapura,2 BHK,1200.0,2.0,37.0,2.0
Anekal,2 Bedroom,1200.0,1.0,36.0,2.0
Whitefield,3 BHK,1870.0,3.0,138.0,3.0
Panathur,2 BHK,1199.0,2.0,86.0,2.0
Prakruthi Township,6 Bedroom,800.0,8.0,150.0,6.0
Doddakallasandra,3 BHK,1360.0,2.0,54.4,3.0
Babusapalaya,3 BHK,1230.0,3.0,53.0,3.0
Hosahalli Extension,3 BHK,2000.0,3.0,120.0,3.0
Kasturi Nagar,4 Bedroom,1200.0,4.0,250.0,4.0
Kundalahalli,2 BHK,1047.0,2.0,83.0,2.0
Electronic City Phase II,4 Bedroom,6000.0,4.0,260.0,4.0
Ramamurthy Nagar,2 Bedroom,1200.0,2.0,76.0,2.0
Kengeri Satellite Town,2 BHK,1302.5,2.0,44.285,2.0
Kengeri,2 BHK,725.0,2.0,30.0,2.0
Jakkur,3 BHK,1645.0,3.0,100.0,3.0
Sultan Palaya,2 BHK,870.0,2.0,65.0,2.0
Marathahalli,2 BHK,1026.0,2.0,49.95,2.0
Bennigana Halli,3 BHK,2000.0,3.0,145.0,3.0
Cooke Town,2 BHK,1710.0,2.0,200.0,2.0
Hosur Road,3 BHK,1766.0,3.0,130.0,3.0
Makali,1 BHK,500.0,1.0,15.0,1.0
JP Nagar,2 BHK,1100.0,1.0,15.0,2.0
Jigani,3 BHK,1221.0,3.0,52.0,3.0
Rachenahalli,1 BHK,680.0,1.0,46.0,1.0
Sarjapur  Road,2 BHK,1278.0,2.0,90.0,2.0
Kodichikkanahalli,2 BHK,1025.0,2.0,66.0,2.0
Whitefield,2 BHK,1175.0,2.0,39.0,2.0
Sarjapur  Road,2 BHK,975.0,2.0,28.275,2.0
6th Phase JP Nagar,1 Bedroom,600.0,1.0,75.0,1.0
Seethappa Layout,2 BHK,850.0,2.0,42.0,2.0
Anjanapura,2 BHK,710.0,2.0,25.0,2.0
Huskur,2 BHK,1165.0,2.0,33.64,2.0
Sarjapur,1 BHK,625.0,1.0,19.0,1.0
Kaggadasapura,3 BHK,1340.0,3.0,66.0,3.0
Ananth Nagar,2 BHK,937.0,2.0,35.0,2.0
Lakkasandra,7 Bedroom,1500.0,6.0,210.0,7.0
JP Nagar,1 BHK,750.0,1.0,52.5,1.0
Shampura,3 BHK,1475.0,3.0,78.0,3.0
Singapura Village,4 Bedroom,2230.0,4.0,130.0,4.0
Jnanabharathi Layout,4 Bedroom,2200.0,5.0,100.0,4.0
Mysore Road,2 Bedroom,900.0,2.0,65.0,2.0
Electronic City Phase II,2 BHK,1116.0,2.0,37.0,2.0
Hoodi,2 BHK,948.0,2.0,75.0,2.0
R.T. Nagar,2 BHK,970.0,2.0,55.0,2.0
Akshayanagara East,3 BHK,1519.0,3.0,67.23,3.0
Thanisandra,3 BHK,1200.0,2.0,65.0,3.0
Bhoganhalli,3 BHK,1760.0,3.0,127.0,3.0
Whitefield,4 Bedroom,4400.0,5.0,525.0,4.0
Sahakara Nagar,3 BHK,1914.0,3.0,179.0,3.0
Budigere,3 BHK,1820.0,3.0,85.5,3.0
Budigere,3 BHK,1820.0,3.0,93.0,3.0
Kalena Agrahara,3 BHK,1565.0,3.0,78.0,3.0
Begur Road,2 BHK,1334.0,2.0,42.69,2.0
Sarakki Nagar,2 BHK,924.0,2.0,76.23,2.0
Jigani,2 BHK,914.0,2.0,49.0,2.0
Kengeri,1 BHK,500.0,1.0,17.0,1.0
Yelahanka,3 BHK,2145.0,3.0,125.0,3.0
Yelahanka,5 Bedroom,1200.0,5.0,162.0,5.0
Electronic City,3 BHK,1650.0,3.0,100.0,3.0
Marathahalli,4 BHK,3940.0,4.0,220.0,4.0
Electronic City,2 BHK,1020.0,2.0,29.45,2.0
Basaveshwara Nagar,2 BHK,1180.0,2.0,58.0,2.0
Ulsoor,2 BHK,1255.0,2.0,120.0,2.0
Langford Gardens,3 BHK,2777.29,5.0,650.0,3.0
Bommasandra,2 BHK,1014.0,2.0,35.0,2.0
Shampura,4 Bedroom,920.0,2.0,90.0,4.0
Attibele,2 BHK,695.0,1.0,25.0,2.0
Prithvi Layout,3 Bedroom,2273.0,4.0,220.0,3.0
GM Palaya,2 BHK,1140.0,2.0,48.95,2.0
Giri Nagar,6 Bedroom,3000.0,4.0,375.0,6.0
Whitefield,2 BHK,1180.0,2.0,41.0,2.0
Begur Road,4 BHK,2400.0,4.0,152.0,4.0
Attibele,2 BHK,850.0,1.0,25.0,2.0
Banashankari,2 BHK,1200.0,2.0,60.0,2.0
"Bellandur, ",4 BHK,3160.0,4.0,206.0,4.0
Hoodi,3 BHK,1769.0,3.0,96.87,3.0
Bhoganhalli,4 BHK,1554.3,4.0,131.0,4.0
Haralur Road,2 BHK,1243.0,2.0,46.0,2.0
2nd Block Jayanagar,4 Bedroom,4920.0,5.0,1150.0,4.0
Mallasandra,2 BHK,905.0,2.0,40.0,2.0
Kothanur,1 Bedroom,627.0,1.0,30.0,1.0
Domlur,3 BHK,2180.0,3.0,285.0,3.0
Frazer Town,3 BHK,2400.0,3.0,260.0,3.0
Marathahalli,3 BHK,1435.0,3.0,73.0,3.0
Jakkur,4 BHK,3405.1,6.0,400.0,4.0
Kodihalli,3 BHK,1620.0,3.0,130.0,3.0
Whitefield,3 BHK,1862.0,3.0,125.0,3.0
Kaikondrahalli,2 BHK,674.0,1.0,19.9,2.0
Marathahalli,2 BHK,1220.0,2.0,59.0,2.0
Haralur Road,2 BHK,1027.0,2.0,44.0,2.0
Electronic City,2 BHK,1025.0,2.0,49.0,2.0
Thanisandra,3 BHK,1430.0,2.0,54.5,3.0
Panathur,2 BHK,1235.0,2.0,65.0,2.0
Electronics City Phase 1,3 BHK,1291.0,2.0,32.0,3.0
Kanakpura Road,3 BHK,1498.0,3.0,95.0,3.0
Sarjapur  Road,3 BHK,2180.0,3.0,240.0,3.0
Electronic City,2 BHK,1000.0,2.0,29.7,2.0
Ejipura,2 Bedroom,922.0,2.0,70.0,2.0
Victoria Layout,2 BHK,850.0,2.0,72.0,2.0
New Thippasandra,3 Bedroom,750.0,3.0,155.0,3.0
AECS Layout,2 BHK,1123.0,2.0,64.0,2.0
Raja Rajeshwari Nagar,2 BHK,1235.0,2.0,75.0,2.0
Kogilu,2 BHK,1250.0,2.0,55.55,2.0
Whitefield,4 Bedroom,2403.0,5.0,360.0,4.0
Sarjapur  Road,2 BHK,984.0,2.0,45.91,2.0
Sarjapur  Road,2 BHK,1305.0,2.0,99.0,2.0
Attur Layout,2 Bedroom,1200.0,1.0,65.0,2.0
1st Block HRBR Layout,3 Bedroom,600.0,3.0,90.0,3.0
Hebbal,4 BHK,2790.0,5.0,204.0,4.0
Old Madras Road,4 BHK,2010.0,3.0,125.0,4.0
Electronics City Phase 1,2 BHK,995.0,2.0,42.0,2.0
Varthur Road,2 BHK,1277.0,2.0,59.0,2.0
7th Phase JP Nagar,2 BHK,1236.0,2.0,61.33,2.0
Akshaya Nagar,2 BHK,1265.0,2.0,67.0,2.0
Gubbalala,5 BHK,2570.0,4.0,141.0,5.0
Hennur Road,4 Bedroom,2400.0,5.0,390.0,4.0
Shikaripalya,3 BHK,1442.0,3.0,56.24,3.0
Ardendale,2 BHK,1224.0,2.0,70.0,2.0
Bellandur,2 BHK,1205.0,2.0,59.0,2.0
Richmond Town,2 BHK,1233.0,2.0,100.0,2.0
5th Block Hbr Layout,2 BHK,1312.0,2.0,69.0,2.0
Electronic City,3 BHK,1449.0,3.0,90.0,3.0
Yelenahalli,2 BHK,1090.0,2.0,54.0,2.0
Kaggadasapura,5 Bedroom,2100.0,5.0,150.0,5.0
Uttarahalli,3 BHK,1390.0,2.0,62.55,3.0
JP Nagar,2 BHK,1200.0,2.0,78.0,2.0
Mallasandra,4 Bedroom,600.0,2.0,50.0,4.0
BTM 2nd Stage,2 BHK,1000.0,2.0,58.0,2.0
Devanahalli,4 Bedroom,2400.0,5.0,190.0,4.0
Thanisandra,3 BHK,1732.0,3.0,85.73,3.0
Banashankari,2 BHK,1290.0,2.0,80.0,2.0
Marasandra,3 BHK,1840.0,3.0,85.0,3.0
Thanisandra,3 BHK,1917.0,4.0,100.0,3.0
Bhuvaneshwari Nagar,2 BHK,1100.0,2.0,57.0,2.0
Kudlu,3 BHK,1455.0,2.0,60.0,3.0
Old Airport Road,4 BHK,2774.0,4.0,208.0,4.0
Haralur Road,5 Bedroom,1200.0,5.0,255.0,5.0
 Devarachikkanahalli,3 BHK,1425.0,2.0,65.0,3.0
Whitefield,3 BHK,1655.0,3.0,113.0,3.0
Haralur Road,4 BHK,2805.0,5.0,160.0,4.0
R.T. Nagar,7 Bedroom,600.0,7.0,93.0,7.0
AGS Layout,2 BHK,1040.0,2.0,46.79,2.0
Akshaya Nagar,2 BHK,1126.0,2.0,55.0,2.0
Kodichikkanahalli,6 Bedroom,1600.0,4.0,200.0,6.0
Hebbal,2 BHK,1250.0,2.0,55.55,2.0
Yelahanka,4 Bedroom,1800.0,4.0,180.0,4.0
Kalkere Channasandra,2 Bedroom,1200.0,2.0,53.0,2.0
Ashirvad Colony,4 BHK,2050.0,3.0,100.0,4.0
Whitefield,1 BHK,530.0,1.0,29.44,1.0
Sarjapur,4 Bedroom,2585.5,4.0,139.5,4.0
Kambipura,2 BHK,883.0,2.0,37.0,2.0
Uttarahalli,3 BHK,1490.0,2.0,59.6,3.0
Ramagondanahalli,2 BHK,1295.0,2.0,95.0,2.0
Sompura,3 BHK,1275.0,3.0,59.0,3.0
Doddabanahalli,2 BHK,800.0,2.0,30.0,2.0
Devanahalli,1 BHK,1200.0,1.0,95.0,1.0
Bellandur,2 BHK,1063.0,2.0,58.0,2.0
Balagere,1 BHK,656.0,1.0,43.0,1.0
Shakthi Nagar,2 BHK,1125.0,2.0,36.0,2.0
Marathahalli,2 BHK,881.0,2.0,48.06,2.0
Nayandanahalli,9 Bedroom,1350.0,8.0,200.0,9.0
Bisuvanahalli,2 BHK,700.0,1.0,32.0,2.0
AGS Layout,3 Bedroom,1936.0,3.0,110.0,3.0
Hosa Road,3 BHK,1680.0,3.0,101.0,3.0
Rayasandra,2 BHK,1253.0,2.0,57.0,2.0
Rajaji Nagar,3 BHK,1640.0,3.0,230.0,3.0
Mysore Road,3 BHK,1082.0,3.0,50.0,3.0
Electronic City,2 BHK,1065.0,2.0,30.75,2.0
Iblur Village,3 BHK,2100.0,4.0,145.0,3.0
Electronic City,2 BHK,1070.0,2.0,58.0,2.0
Raja Rajeshwari Nagar,3 BHK,1280.0,3.0,57.6,3.0
6th block Koramangala,5 Bedroom,1200.0,5.0,300.0,5.0
Electronic City Phase II,2 BHK,1125.0,2.0,29.25,2.0
Sarjapur  Road,3 BHK,1755.0,3.0,122.0,3.0
Electronic City,2 BHK,1210.0,2.0,54.0,2.0
Talaghattapura,2 BHK,951.0,2.0,30.43,2.0
Electronic City,3 BHK,1500.0,2.0,75.0,3.0
Coffee Board Layout,3 BHK,1652.5,3.0,90.0,3.0
Yeshwanthpur,3 BHK,1381.0,2.0,76.18,3.0
Whitefield,2 BHK,1085.0,2.0,57.0,2.0
Whitefield,1 BHK,905.0,1.0,50.0,1.0
Hennur Road,3 BHK,1685.0,3.0,95.0,3.0
Somasundara Palya,2 BHK,1200.0,2.0,75.0,2.0
Anandapura,2 BHK,1151.0,2.0,42.9,2.0
Brookefield,4 Bedroom,3532.0,3.0,170.0,4.0
Kanakpura Road,3 BHK,1665.0,3.0,86.91,3.0
Kengeri Satellite Town,2 BHK,800.0,2.0,40.0,2.0
Chamrajpet,2 Bedroom,1050.0,2.0,162.0,2.0
Rajiv Nagar,2 BHK,1030.0,2.0,46.5,2.0
Hoodi,2 BHK,1257.0,2.0,71.03,2.0
Whitefield,3 BHK,1600.0,3.0,82.0,3.0
Choodasandra,3 BHK,1465.0,3.0,75.0,3.0
Jakkur,3 BHK,1650.0,3.0,111.0,3.0
Haralur Road,2 BHK,1243.0,2.0,46.0,2.0
Yelahanka New Town,2 Bedroom,680.0,1.0,80.0,2.0
Whitefield,4 Bedroom,1230.0,4.0,80.0,4.0
Koramangala,2 BHK,1300.0,2.0,82.0,2.0
KR Puram,2 BHK,1000.0,2.0,44.5,2.0
Mahadevpura,2 BHK,1146.0,2.0,53.8,2.0
Hennagara,6 BHK,1200.0,6.0,120.0,6.0
Indira Nagar,3 BHK,2601.0,4.0,312.0,3.0
Vishwanatha Nagenahalli,3 BHK,2159.0,3.0,110.0,3.0
Whitefield,2 BHK,1255.0,2.0,40.0,2.0
Hebbal Kempapura,2 BHK,1130.0,2.0,60.0,2.0
Padmanabhanagar,2 BHK,1200.0,2.0,60.0,2.0
Sarjapur  Road,2 BHK,1040.0,2.0,37.0,2.0
TC Palaya,8 Bedroom,1500.0,8.0,150.0,8.0
Byrathi Village,4 Bedroom,906.0,3.0,55.0,4.0
Uttarahalli,2 BHK,1180.0,2.0,41.3,2.0
Ullal Uppanagar,7 Bedroom,1200.0,7.0,169.0,7.0
Govindpura,6 Bedroom,850.0,7.0,100.0,6.0
KR Puram,2 BHK,1200.0,2.0,47.0,2.0
Sarjapur  Road,3 BHK,1374.0,3.0,51.0,3.0
Vidyaranyapura,9 BHK,4700.0,10.0,130.0,9.0
Whitefield,1 BHK,630.5,1.0,32.15,1.0
 south,3 Bedroom,2400.0,2.0,480.0,3.0
Haralur Road,2 BHK,1027.0,2.0,44.0,2.0
Ittamadu,5 Bedroom,1200.0,4.0,130.0,5.0
Jalahalli,3 BHK,2384.0,4.0,165.0,3.0
Electronic City,3 BHK,1033.0,2.0,28.41,3.0
Yelahanka,2 BHK,1200.0,2.0,54.0,2.0
Haralur Road,3 BHK,2017.0,3.0,105.0,3.0
Rainbow Drive,3 Bedroom,1500.0,3.0,138.0,3.0
Kamala Nagar,2 BHK,700.0,2.0,43.0,2.0
Shampura,6 Bedroom,1150.0,6.0,75.0,6.0
Kanakpura Road,3 BHK,1495.0,2.0,52.33,3.0
Kothanur,2 BHK,1302.0,2.0,68.5,2.0
Whitefield,1 BHK,905.0,1.0,52.0,1.0
Raja Rajeshwari Nagar,2 BHK,1303.0,2.0,55.79,2.0
Electronics City Phase 1,3 BHK,1350.0,3.0,71.0,3.0
Gottigere,3 BHK,1380.0,2.0,95.0,3.0
Harlur,3 BHK,1620.0,3.0,110.0,3.0
Chandapura,4 Bedroom,4800.0,4.0,250.0,4.0
Sarjapur  Road,2 BHK,1000.0,2.0,38.5,2.0
Ramamurthy Nagar,3 Bedroom,800.0,4.0,88.0,3.0
Thanisandra,2 BHK,1250.0,1.0,54.0,2.0
3rd Block Koramangala,3 BHK,1750.0,3.0,170.0,3.0
Anekal,3 BHK,997.0,3.0,55.0,3.0
Kothanur,3 BHK,1760.0,3.0,111.0,3.0
Yelahanka,2 BHK,1322.0,2.0,75.0,2.0
Kanaka Nagar,3 Bedroom,1365.0,3.0,99.0,3.0
Sahakara Nagar,3 BHK,1500.0,3.0,125.0,3.0
Kaggadasapura,3 BHK,1256.0,2.0,50.0,3.0
Brookefield,2 BHK,941.0,2.0,48.0,2.0
Devanahalli,4 Bedroom,5000.0,4.0,465.0,4.0
Kanakpura Road,3 BHK,1665.0,3.0,86.58,3.0
Hennur Road,2 BHK,1414.0,2.0,84.18,2.0
Chikkalasandra,3 BHK,1270.0,2.0,55.25,3.0
Madiwala,3 Bedroom,800.0,2.0,80.0,3.0
Kengeri Satellite Town,4 Bedroom,4100.0,3.0,300.0,4.0
Mathikere,6 Bedroom,1800.0,3.0,105.0,6.0
Pattanagere,2 BHK,850.0,2.0,35.0,2.0
Kanakpura Road,1 BHK,712.0,1.0,38.44,1.0
Rajaji Nagar,4 BHK,2648.0,5.0,251.5,4.0
Basaveshwara Nagar Yelahanka,3 Bedroom,900.0,4.0,180.0,3.0
TC Palaya,2 Bedroom,900.0,2.0,55.0,2.0
Hebbal,2 BHK,1200.0,2.0,49.0,2.0
Kengeri Satellite Town,1 BHK,654.0,1.0,22.0,1.0
Peenya,2 BHK,708.0,1.0,55.0,2.0
Singapura Village,4 Bedroom,600.0,5.0,75.0,4.0
Wilson Garden,3 BHK,1680.0,3.0,135.0,3.0
Jakkasandra Extension,2 BHK,990.0,2.0,58.0,2.0
Uttarahalli,2 BHK,1380.0,2.0,42.0,2.0
Hebbal,2 BHK,1088.0,2.0,62.0,2.0
Harlur,3 BHK,1414.0,3.0,77.5,3.0
Seshadripuram,2 BHK,1240.0,2.0,100.0,2.0
Ganesha Block,3 BHK,1810.0,3.0,118.0,3.0
4th Block Jayanagar,3 BHK,2005.0,3.0,240.0,3.0
Kothanur,2 BHK,1185.0,2.0,58.0,2.0
Whitefield,3 Bedroom,1200.0,3.0,57.15,3.0
Electronic City,2 BHK,1070.0,2.0,52.0,2.0
Shikaripalya,2 BHK,1265.0,2.0,58.0,2.0
Sahakara Nagar,2 BHK,1100.0,2.0,55.0,2.0
Friends Colony,2 BHK,1035.0,2.0,44.0,2.0
Sonnenahalli,1 BHK,614.5,1.0,30.715,1.0
2nd Block Jayanagar,2 BHK,1000.0,2.0,97.0,2.0
Hegde Nagar,2 BHK,1179.0,2.0,49.35,2.0
Vittasandra,3 BHK,1650.0,3.0,84.0,3.0
Malur Hosur Road,6 Bedroom,2800.0,4.0,100.0,6.0
Lakshmipura Vidyaanyapura,8 Bedroom,3500.0,6.0,120.0,8.0
Nagaraja Garden,3 BHK,1430.0,3.0,78.65,3.0
Marathahalli,3 BHK,1130.0,2.0,58.0,3.0
JP Nagar,3 BHK,1850.0,2.0,110.0,3.0
Hennur,3 BHK,1340.0,3.0,54.24,3.0
Nagawara Junction,2 Bedroom,600.0,2.0,30.0,2.0
Banashankari,3 BHK,2582.0,5.0,250.0,3.0
Channasandra,2 BHK,1160.0,2.0,55.0,2.0
Hegganahalli,1 Bedroom,1200.0,2.0,45.0,1.0
Rajanna Layout,2 BHK,1116.0,2.0,37.6,2.0
Nagarbhavi  BDA Complex,3 Bedroom,600.0,2.0,85.0,3.0
Sarakki Nagar,3 BHK,2663.0,4.0,338.0,3.0
Devasthanagalu,2 BHK,1090.0,2.0,45.0,2.0
JP Nagar,2 BHK,1100.0,2.0,45.0,2.0
Kammasandra,3 BHK,1365.0,2.0,34.13,3.0
Vijayanagar,3 BHK,1484.0,3.0,79.19,3.0
Green Glen Layout,3 BHK,1630.0,3.0,68.0,3.0
Whitefield,3 BHK,1451.0,2.0,52.43,3.0
Kanakpura Road,2 BHK,1330.0,2.0,107.0,2.0
Thanisandra,3 BHK,2127.0,3.0,135.0,3.0
Adityanagar,5 Bedroom,875.0,5.0,120.0,5.0
Hallehalli,4 Bedroom,1260.0,4.0,65.0,4.0
Sarjapur  Road,3 BHK,1173.0,2.0,45.75,3.0
Electronics City Phase 1,3 BHK,1445.0,2.0,56.0,3.0
Jayamahal Extension,4 BHK,2250.0,4.0,400.0,4.0
Bannerghatta Road,3 Bedroom,1500.0,4.0,239.0,3.0
Thanisandra,3 BHK,2336.5,3.0,115.89,3.0
JP Nagar,2 BHK,1197.0,2.0,47.88,2.0
2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,225.0,4.0
Sarjapur  Road,5 BHK,3930.0,7.0,329.0,5.0
Kanakpura Road,3 BHK,1450.0,3.0,62.4,3.0
Whitefield,2 BHK,1187.0,2.0,37.85,2.0
Wilson Garden,6 Bedroom,4000.0,6.0,850.0,6.0
Channasandra,2 BHK,1050.0,2.0,41.0,2.0
Panathur,3 BHK,1370.0,2.0,54.8,3.0
Yelahanka,2 BHK,1036.0,2.0,39.37,2.0
JP Nagar,3 BHK,1275.0,3.0,41.2,3.0
Old Madras Road,4 BHK,2010.0,3.0,115.0,4.0
Thigalarapalya,2 BHK,1418.0,2.0,106.0,2.0
Thanisandra,2 BHK,1265.0,2.0,46.6,2.0
Anandapura,3 BHK,1576.0,3.0,58.0,3.0
Dodda Nekkundi,2 BHK,1148.0,2.0,56.0,2.0
Green View Layout,2 BHK,1000.0,2.0,36.0,2.0
Kudlu,3 BHK,1293.0,2.0,85.0,3.0
TC Palaya,3 Bedroom,1200.0,2.0,66.0,3.0
Munnekollal,2 BHK,1210.0,2.0,75.0,2.0
HSR Layout,2 BHK,1126.0,2.0,69.0,2.0
Sarakki Nagar,3 BHK,1840.0,4.0,175.0,3.0
Vidyaranyapura,3 BHK,1440.0,2.0,70.0,3.0
Ramamurthy Nagar,3 BHK,1300.0,2.0,52.0,3.0
Thanisandra,2 BHK,1276.0,2.0,75.0,2.0
Gidada Konnenahalli,6 Bedroom,600.0,4.0,105.0,6.0
Whitefield,2 BHK,1216.0,2.0,83.0,2.0
Marenahalli,1 BHK,840.0,1.0,75.0,1.0
Sector 1 HSR Layout,5 Bedroom,1240.0,5.0,300.0,5.0
Sompura,2 BHK,1126.0,2.0,39.0,2.0
Mysore Road,1 Bedroom,45.0,1.0,23.0,1.0
Raja Rajeshwari Nagar,2 BHK,1162.0,2.0,65.0,2.0
Whitefield,2 BHK,1301.0,2.0,65.0,2.0
Devanahalli,1 BHK,658.0,1.0,34.0,1.0
Sahakara Nagar,3 Bedroom,1350.0,3.0,250.0,3.0
Whitefield,3 BHK,2500.0,3.0,280.0,3.0
Chandapura,3 BHK,1208.51,3.0,42.0,3.0
Raja Rajeshwari Nagar,2 BHK,1133.0,2.0,38.41,2.0
Shettigere,3 BHK,1760.0,2.0,116.0,3.0
Bisuvanahalli,3 BHK,1075.0,2.0,52.0,3.0
Sarjapur,2 BHK,940.0,2.0,25.38,2.0
Badavala Nagar,2 BHK,1145.0,2.0,57.0,2.0
Bannerghatta Road,2 BHK,1302.5,2.0,67.73,2.0
Rahat Bagh,4 Bedroom,3900.0,5.0,550.0,4.0
Omarbagh Layout,4 BHK,3317.5,5.0,268.5,4.0
Dasarahalli,2 BHK,1300.0,2.0,50.0,2.0
