location,size,total_sqft,bath,price,BHK,price_per_sqft
Sarjapur  Road,3 BHK,2145.0,3.0,180.0,3.0,8391.608391608392
Bannerghatta Road,2 BHK,960.0,2.0,58.0,2.0,6041.666666666667
NGR Layout,1 BHK,907.0,1.0,38.0,1.0,4189.636163175303
Old Madras Road,2 BHK,1210.0,2.0,74.0,2.0,6115.702479338843
other,2 BHK,1230.0,2.0,70.0,2.0,5691.056910569106
5th Phase JP Nagar,3 BHK,1350.0,2.0,75.0,3.0,5555.555555555556
Kenchenahalli,2 BHK,1150.0,2.0,58.0,2.0,5043.478260869565
Sarjapur,3 BHK,1404.0,2.0,53.35,3.0,3799.8575498575497
OMBR Layout,2 BHK,1050.0,2.0,48.0,2.0,4571.428571428572
Hormavu,2 BHK,1018.0,2.0,50.8,2.0,4990.176817288801
Hoskote,3 Bedroom,1200.0,3.0,57.0,3.0,4750.0
other,3 BHK,1600.0,3.0,95.0,3.0,5937.5
9th Phase JP Nagar,2 BHK,1480.0,2.0,80.0,2.0,5405.405405405405
Kaval Byrasandra,1 BHK,480.0,1.0,25.0,1.0,5208.333333333333
other,1 BHK,600.0,2.0,23.0,1.0,3833.3333333333335
CV Raman Nagar,3 BHK,1590.0,2.0,85.0,3.0,5345.911949685535
Nagavara,2 BHK,936.0,2.0,40.2,2.0,4294.871794871795
Banashankari,2 BHK,1181.0,2.0,75.0,2.0,6350.550381033023
Kengeri,3 BHK,1741.0,3.0,80.0,3.0,4595.060310166571
JP Nagar,3 BHK,1750.0,3.0,123.0,3.0,7028.571428571428
Varthur Road,2 BHK,1050.0,2.0,42.7,2.0,4066.6666666666665
Tumkur Road,2 BHK,1027.0,2.0,60.0,2.0,5842.259006815969
Sahakara Nagar,2 BHK,1000.0,2.0,60.0,2.0,6000.0
Varthur,2 BHK,1120.0,2.0,44.24,2.0,3950.0
other,2 Bedroom,1200.0,2.0,85.0,2.0,7083.333333333333
Kasturi Nagar,3 BHK,1570.0,3.0,110.0,3.0,7006.369426751592
Koramangala,3 BHK,1500.0,3.0,135.0,3.0,9000.0
Electronic City Phase II,2 BHK,1140.0,2.0,33.84,2.0,2968.421052631579
Banashankari,2 BHK,1105.0,2.0,90.0,2.0,8144.796380090498
Whitefield,1 BHK,905.0,1.0,62.0,1.0,6850.828729281768
Kudlu Gate,2 BHK,1185.0,2.0,50.0,2.0,4219.4092827004215
Koramangala,2 BHK,1083.0,2.0,100.0,2.0,9233.610341643584
Rayasandra,3 BHK,1458.0,3.0,60.0,3.0,4115.22633744856
Hormavu,3 BHK,1555.0,3.0,75.0,3.0,4823.15112540193
Kudlu,2 BHK,1024.0,2.0,44.0,2.0,4296.875
Parappana Agrahara,2 BHK,1194.0,2.0,47.0,2.0,3936.348408710218
Kanakapura,3 BHK,1450.0,3.0,75.0,3.0,5172.413793103448
Seegehalli,3 BHK,1639.0,3.0,120.0,3.0,7321.537522879805
Whitefield,3 BHK,1870.0,3.0,138.0,3.0,7379.679144385027
Hennur Road,2 BHK,1232.0,2.0,87.0,2.0,7061.688311688312
other,3 BHK,2000.0,4.0,130.0,3.0,6500.0
Jakkur,2 BHK,1230.0,2.0,79.0,2.0,6422.764227642277
KR Puram,2 BHK,1076.0,2.0,67.0,2.0,6226.7657992565055
Kumaraswami Layout,7 Bedroom,2400.0,7.0,125.0,7.0,5208.333333333333
Kodigehaali,3 BHK,2120.0,3.0,177.0,3.0,8349.056603773584
Horamavu Agara,2 BHK,1107.83,2.0,41.51,2.0,3746.964787016059
Sarjapur  Road,2 BHK,1320.0,2.0,115.0,2.0,8712.121212121212
8th Phase JP Nagar,3 BHK,1431.5,3.0,72.02,3.0,5031.086273140063
Whitefield,2 BHK,1320.0,2.0,99.26,2.0,7519.69696969697
Whitefield,3 BHK,2901.0,4.0,190.0,3.0,6549.465701482248
GM Palaya,3 BHK,1315.0,2.0,65.0,3.0,4942.9657794676805
Hosakerehalli,3 BHK,1596.0,3.0,79.8,3.0,5000.0
Bannerghatta Road,3 BHK,1750.0,3.0,130.0,3.0,7428.571428571428
other,2 BHK,1175.0,2.0,79.0,2.0,6723.404255319149
Talaghattapura,2 BHK,921.0,2.0,29.47,2.0,3199.782844733985
Sultan Palaya,3 BHK,1713.0,3.0,125.0,3.0,7297.139521307648
8th Phase JP Nagar,3 Bedroom,1900.0,4.0,90.0,3.0,4736.8421052631575
Binny Pete,3 BHK,1795.0,3.0,139.0,3.0,7743.732590529248
Kereguddadahalli,1 BHK,600.0,1.0,19.5,1.0,3250.0
Hoodi,2 BHK,1240.0,2.0,65.0,2.0,5241.935483870968
Hegde Nagar,3 BHK,1965.0,4.0,132.0,3.0,6717.557251908397
Sarjapur,4 Bedroom,4111.0,4.0,370.0,4.0,9000.243249817562
other,2 BHK,1112.0,2.0,68.0,2.0,6115.107913669065
Mahadevpura,2 BHK,1136.0,2.0,64.5,2.0,5677.816901408451
Jigani,2 BHK,914.0,2.0,55.0,2.0,6017.505470459519
Whitefield,2 BHK,1485.0,2.0,96.51,2.0,6498.989898989899
Singasandra,2 BHK,1375.0,2.0,58.0,2.0,4218.181818181818
Uttarahalli,2 BHK,1125.0,2.0,48.0,2.0,4266.666666666667
Banashankari,1 BHK,720.0,1.0,60.0,1.0,8333.333333333334
7th Phase JP Nagar,3 BHK,1460.0,2.0,100.0,3.0,6849.315068493151
other,2 BHK,1158.0,2.0,75.0,2.0,6476.683937823835
Yelachenahalli,2 BHK,800.0,1.0,30.0,2.0,3750.0
Bhoganhalli,3 BHK,1760.0,3.0,128.0,3.0,7272.727272727273
other,4 Bedroom,3200.0,4.0,200.0,4.0,6250.0
Frazer Town,3 BHK,1706.0,3.0,154.0,3.0,9026.963657678782
BTM Layout,3 BHK,1600.0,3.0,112.0,3.0,7000.0
other,2 BHK,1200.0,2.0,90.0,2.0,7500.0
Whitefield,3 BHK,1755.0,3.0,101.0,3.0,5754.985754985755
Hulimavu,2 BHK,1200.0,2.0,50.0,2.0,4166.666666666667
BEML Layout,2 BHK,1200.0,2.0,67.0,2.0,5583.333333333333
other,2 BHK,1266.67,2.0,69.0,2.0,5447.3540859103
2nd Phase Judicial Layout,3 BHK,1300.0,3.0,64.0,3.0,4923.076923076923
Mysore Road,2 BHK,1029.5,2.0,50.855,2.0,4939.776590577951
Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,40.0,2.0,3546.099290780142
other,2 Bedroom,2000.0,2.0,160.0,2.0,8000.0
Panathur,2 BHK,1210.0,2.0,80.0,2.0,6611.570247933884
Raja Rajeshwari Nagar,2 BHK,1151.0,2.0,39.0,2.0,3388.357949609036
Munnekollal,3 BHK,1750.0,3.0,86.5,3.0,4942.857142857143
Dasanapura,2 BHK,1163.0,2.0,65.0,2.0,5588.993981083405
7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3.0,6666.666666666667
other,3 BHK,1800.0,3.0,95.0,3.0,5277.777777777777
CV Raman Nagar,2 BHK,1100.0,2.0,58.0,2.0,5272.727272727273
R.T. Nagar,2 BHK,1200.0,2.0,60.0,2.0,5000.0
Begur Road,3 BHK,1933.0,3.0,98.0,3.0,5069.839627521987
Begur Road,2 BHK,1200.0,2.0,45.6,2.0,3800.0
Horamavu Banaswadi,2 BHK,1156.0,2.0,46.9,2.0,4057.093425605536
other,2 Bedroom,1230.0,2.0,75.0,2.0,6097.5609756097565
Kasavanhalli,1 BHK,770.0,1.0,43.82,1.0,5690.909090909091
Ardendale,3 BHK,1777.26,3.0,105.0,3.0,5907.970696465346
Kanakpura Road,2 BHK,1339.0,2.0,85.0,2.0,6348.020911127707
Sarjapur  Road,3 Bedroom,3044.0,3.0,183.0,3.0,6011.826544021025
other,2 Bedroom,2400.0,2.0,135.0,2.0,5625.0
Kothanur,2 BHK,1075.0,2.0,53.0,2.0,4930.232558139535
Sarjapur  Road,3 BHK,1163.0,2.0,62.0,3.0,5331.04041272571
TC Palaya,2 Bedroom,1200.0,2.0,65.0,2.0,5416.666666666667
Hebbal,2 BHK,1299.0,2.0,100.0,2.0,7698.229407236336
HRBR Layout,2 BHK,1170.0,2.0,75.0,2.0,6410.25641025641
Yelahanka,4 BHK,2600.0,4.0,175.0,4.0,6730.769230769231
KR Puram,2 BHK,1140.0,2.0,43.32,2.0,3800.0
Kanakpura Road,3 BHK,1900.0,3.0,125.0,3.0,6578.9473684210525
Bommasandra Industrial Area,2 BHK,1090.0,2.0,31.48,2.0,2888.0733944954127
Nagavarapalya,1 BHK,705.0,1.0,57.0,1.0,8085.106382978724
HBR Layout,2 BHK,1089.0,2.0,60.0,2.0,5509.641873278237
other,2 Bedroom,880.0,2.0,48.0,2.0,5454.545454545455
Kereguddadahalli,2 BHK,1080.0,2.0,32.0,2.0,2962.962962962963
Thanisandra,2 BHK,1093.0,2.0,68.1,2.0,6230.558096980786
Banashankari Stage III,3 BHK,1480.0,3.0,75.48,3.0,5100.0
Hegde Nagar,3 BHK,1703.0,3.0,125.0,3.0,7339.988256018791
Hebbal,2 BHK,1200.0,2.0,60.0,2.0,5000.0
Marathahalli,3 BHK,1690.0,3.0,116.0,3.0,6863.905325443787
Yelahanka,2 BHK,1305.0,2.0,78.0,2.0,5977.0114942528735
Anekal,3 Bedroom,1500.0,4.0,99.0,3.0,6600.0
Horamavu Agara,2 BHK,980.0,2.0,38.19,2.0,3896.938775510204
Hosakerehalli,3 Bedroom,1200.0,2.0,100.0,3.0,8333.333333333334
Whitefield,3 BHK,2225.0,3.0,149.0,3.0,6696.6292134831465
other,2 BHK,1022.0,2.0,57.0,2.0,5577.299412915852
Narayanapura,2 BHK,1153.0,2.0,45.0,2.0,3902.8620988725065
Pai Layout,2 BHK,1175.0,2.0,60.0,2.0,5106.382978723404
Yelahanka New Town,1 BHK,650.0,1.0,17.0,1.0,2615.3846153846152
Billekahalli,2 BHK,1350.0,3.0,55.0,2.0,4074.074074074074
other,2 Bedroom,1200.0,2.0,76.0,2.0,6333.333333333333
Chandapura,2 BHK,800.0,2.0,25.0,2.0,3125.0
Electronic City,4 BHK,2093.0,4.0,104.0,4.0,4968.944099378882
Uttarahalli,3 BHK,1320.0,2.0,55.44,3.0,4200.0
Bannerghatta Road,2 BHK,1275.0,2.0,73.0,2.0,5725.490196078431
Begur Road,2 BHK,1215.0,2.0,43.13,2.0,3549.794238683128
Kanakapura,2 BHK,1130.0,2.0,45.2,2.0,4000.0
Begur Road,3 BHK,1444.0,2.0,71.5,3.0,4951.523545706371
Padmanabhanagar,2 BHK,1000.0,1.0,90.0,2.0,9000.0
Banashankari Stage II,3 BHK,1240.0,2.0,59.52,3.0,4800.0
Hennur,2 BHK,1231.0,2.0,50.0,2.0,4061.738424045492
Benson Town,2 BHK,1300.0,2.0,120.0,2.0,9230.76923076923
Yeshwanthpur,3 BHK,1713.0,3.0,110.0,3.0,6421.482778750729
Kogilu,2 BHK,1200.0,2.0,53.33,2.0,4444.166666666667
Sarjapur  Road,3 Bedroom,3004.0,4.0,158.0,3.0,5259.65379494008
Jalahalli,2 BHK,790.0,2.0,49.5,2.0,6265.822784810127
other,3 BHK,1605.0,3.0,100.0,3.0,6230.529595015576
Whitefield,2 BHK,1250.0,2.0,82.0,2.0,6560.0
Subramanyapura,3 BHK,1260.0,2.0,76.0,3.0,6031.746031746032
Electronic City,2 BHK,1025.0,2.0,53.9,2.0,5258.536585365854
Sarjapur  Road,3 BHK,1877.0,4.0,150.0,3.0,7991.475759190197
Lakshminarayana Pura,3 BHK,1649.0,3.0,150.0,3.0,9096.422073984231
Hennur,5 Bedroom,2500.0,5.0,125.0,5.0,5000.0
other,3 BHK,1542.0,3.0,98.0,3.0,6355.38261997406
Thigalarapalya,2 BHK,1418.0,2.0,105.0,2.0,7404.795486600846
Chandapura,2 Bedroom,1200.0,2.0,65.0,2.0,5416.666666666667
Green Glen Layout,3 BHK,1680.0,4.0,95.0,3.0,5654.761904761905
Old Madras Road,2 BHK,1171.0,2.0,72.0,2.0,6148.590947907771
Tumkur Road,2 BHK,1027.0,2.0,68.62,2.0,6681.596884128529
Shampura,3 BHK,1700.0,3.0,75.0,3.0,4411.764705882353
Kanakapura,2 BHK,1090.0,2.0,38.15,2.0,3500.0
Hennur Road,2 BHK,1232.0,2.0,74.0,2.0,6006.493506493506
Anekal,2 BHK,766.0,2.0,28.0,2.0,3655.3524804177546
Kanakpura Road,1 BHK,525.0,1.0,27.0,1.0,5142.857142857143
Choodasandra,3 BHK,1254.0,2.0,65.0,3.0,5183.413078149921
Kanakpura Road,3 BHK,1593.0,3.0,118.0,3.0,7407.407407407408
other,2 BHK,1333.0,2.0,77.27,2.0,5796.699174793698
other,3 Bedroom,1100.0,3.0,110.0,3.0,10000.0
Ardendale,3 BHK,1650.0,3.0,82.0,3.0,4969.69696969697
Electronic City,2 BHK,940.0,2.0,54.0,2.0,5744.68085106383
Electronic City,1 BHK,435.0,1.0,21.0,1.0,4827.586206896552
Begur Road,2 BHK,1160.0,2.0,36.54,2.0,3150.0
Electronic City,3 BHK,1500.0,2.0,77.5,3.0,5166.666666666667
other,2 BHK,1050.0,2.0,70.0,2.0,6666.666666666667
Haralur Road,2 BHK,1027.0,2.0,43.0,2.0,4186.952288218111
Seegehalli,3 Bedroom,3000.0,4.0,235.0,3.0,7833.333333333333
Tumkur Road,3 BHK,1459.0,2.0,95.0,3.0,6511.3091158327625
Yelahanka,3 BHK,1711.0,3.0,85.61,3.0,5003.506721215664
Hoodi,2 BHK,1250.0,2.0,98.0,2.0,7840.0
Chandapura,1 BHK,645.0,1.0,16.45,1.0,2550.3875968992247
Anandapura,2 Bedroom,875.0,2.0,57.0,2.0,6514.285714285715
Ramamurthy Nagar,2 BHK,1334.0,2.0,67.0,2.0,5022.488755622189
Thigalarapalya,3 BHK,2072.0,4.0,160.0,3.0,7722.007722007722
Kengeri Satellite Town,2 BHK,920.0,2.0,39.0,2.0,4239.130434782609
Chandapura,2 BHK,778.0,2.0,25.29,2.0,3250.642673521851
Nagasandra,4 Bedroom,1310.0,3.0,95.0,4.0,7251.908396946565
Electronic City,3 BHK,1631.0,3.0,80.0,3.0,4904.9662783568365
Kanakpura Road,1 BHK,525.0,1.0,27.5,1.0,5238.095238095239
other,3 BHK,2000.0,3.0,105.0,3.0,5250.0
Hennur Road,2 BHK,1232.0,2.0,66.0,2.0,5357.142857142857
Gubbalala,2 BHK,1205.0,2.0,70.0,2.0,5809.128630705394
Rajiv Nagar,4 BHK,2340.0,5.0,129.0,4.0,5512.820512820513
Rayasandra,3 BHK,1179.0,2.0,55.0,3.0,4664.970313825275
Kodigehaali,2 BHK,1013.0,2.0,51.0,2.0,5034.550839091807
Uttarahalli,2 BHK,1160.0,2.0,40.6,2.0,3500.0
7th Phase JP Nagar,2 BHK,1200.0,2.0,62.5,2.0,5208.333333333333
other,3 Bedroom,1200.0,3.0,99.0,3.0,8250.0
Marathahalli,2 BHK,1065.0,2.0,55.0,2.0,5164.319248826291
Lakshminarayana Pura,2 BHK,1395.0,2.0,75.0,2.0,5376.344086021505
Hebbal Kempapura,3 BHK,1725.0,2.0,165.0,3.0,9565.217391304348
Hebbal,3 BHK,1645.0,3.0,117.0,3.0,7112.462006079028
Kengeri,2 Bedroom,1200.0,2.0,58.0,2.0,4833.333333333333
Mysore Road,2 BHK,940.0,2.0,43.61,2.0,4639.36170212766
KR Puram,6 Bedroom,4300.0,6.0,175.0,6.0,4069.767441860465
Haralur Road,2 BHK,1194.0,2.0,47.0,2.0,3936.348408710218
Dodda Nekkundi,3 BHK,1829.0,3.0,125.0,3.0,6834.335702569711
Whitefield,4 Bedroom,1800.0,4.0,178.0,4.0,9888.888888888889
other,2 BHK,1000.0,2.0,60.0,2.0,6000.0
other,3 Bedroom,5720.0,3.0,350.0,3.0,6118.881118881119
Hebbal,2 BHK,1390.0,2.0,95.0,2.0,6834.53237410072
Lakshminarayana Pura,3 BHK,1500.0,3.0,104.0,3.0,6933.333333333333
Vijayanagar,3 BHK,2047.0,3.0,136.0,3.0,6643.869076697606
Jakkur,2 BHK,1202.0,2.0,79.0,2.0,6572.379367720466
other,2 BHK,1012.0,2.0,59.0,2.0,5830.0395256917
Whitefield,1 BHK,605.0,1.0,40.0,1.0,6611.570247933884
Harlur,2 BHK,1331.0,2.0,88.0,2.0,6611.570247933884
Margondanahalli,2 Bedroom,1200.0,2.0,69.0,2.0,5750.0
TC Palaya,2 BHK,1500.0,2.0,75.0,2.0,5000.0
Attibele,1 BHK,450.0,1.0,12.5,1.0,2777.777777777778
Hennur Road,2 BHK,1341.0,2.0,95.0,2.0,7084.265473527218
2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3.0,3500.0
Tumkur Road,2 BHK,992.0,2.0,60.0,2.0,6048.387096774193
Uttarahalli,2 BHK,1163.0,2.0,68.0,2.0,5846.947549441101
Sarjapur  Road,2 BHK,1229.0,2.0,70.0,2.0,5695.6875508543535
other,2 Bedroom,600.0,2.0,39.0,2.0,6500.0
Electronic City Phase II,2 BHK,1219.0,2.0,61.26,2.0,5025.430680885972
Raja Rajeshwari Nagar,3 BHK,1525.0,2.0,99.13,3.0,6500.327868852459
Kasavanhalli,2 BHK,1147.0,2.0,60.0,2.0,5231.037489102006
Akshaya Nagar,3 BHK,1412.0,2.0,88.0,3.0,6232.294617563739
Nagarbhavi,2 BHK,1190.0,2.0,63.0,2.0,5294.117647058823
other,3 BHK,1240.0,2.0,65.0,3.0,5241.935483870968
other,3 BHK,1700.0,3.0,111.0,3.0,6529.411764705882
Ramamurthy Nagar,2 BHK,1200.0,2.0,46.0,2.0,3833.3333333333335
Kengeri,1 BHK,400.0,2.0,25.0,1.0,6250.0
Sarjapur  Road,2 BHK,1342.0,2.0,70.0,2.0,5216.095380029807
Hennur Road,3 Bedroom,2700.0,3.0,150.0,3.0,5555.555555555556
other,3 Bedroom,1780.0,3.0,110.0,3.0,6179.775280898876
Kammanahalli,2 BHK,1200.0,2.0,80.0,2.0,6666.666666666667
Margondanahalli,2 Bedroom,900.0,2.0,49.0,2.0,5444.444444444444
Sarjapur,3 Bedroom,1830.0,3.0,88.0,3.0,4808.743169398907
Uttarahalli,2 BHK,1065.0,2.0,42.59,2.0,3999.06103286385
other,3 BHK,900.0,2.0,65.0,3.0,7222.222222222223
Laggere,1 BHK,1500.0,1.0,60.0,1.0,4000.0
Sarjapur  Road,3 BHK,1711.0,3.0,110.0,3.0,6428.988895382817
Chandapura,2 BHK,950.0,2.0,25.65,2.0,2700.0
Uttarahalli,2 BHK,1075.0,2.0,46.76,2.0,4349.767441860465
Harlur,3 BHK,1752.12,3.0,133.0,3.0,7590.80428281168
Hebbal,8 Bedroom,6000.0,8.0,220.0,8.0,3666.6666666666665
other,3 BHK,1540.0,3.0,85.0,3.0,5519.480519480519
LB Shastri Nagar,1 BHK,665.0,1.0,32.0,1.0,4812.0300751879695
Sector 2 HSR Layout,3 BHK,1665.0,3.0,110.0,3.0,6606.606606606607
Marathahalli,3 BHK,1693.0,3.0,125.0,3.0,7383.343177790904
other,3 BHK,2456.0,3.0,220.0,3.0,8957.654723127036
Uttarahalli,2 BHK,1155.0,2.0,40.6,2.0,3515.151515151515
KR Puram,2 BHK,1200.0,2.0,42.0,2.0,3500.0
Kasavanhalli,2 BHK,1375.0,2.0,72.0,2.0,5236.363636363636
Vijayanagar,3 BHK,1200.0,2.0,75.0,3.0,6250.0
Yelahanka,2 BHK,1315.0,2.0,75.0,2.0,5703.42205323194
Dommasandra,2 Bedroom,1500.0,2.0,40.0,2.0,2666.6666666666665
Yelahanka,6 Bedroom,3600.0,6.0,200.0,6.0,5555.555555555556
Vijayanagar,2 BHK,1178.0,2.0,82.0,2.0,6960.950764006791
Thanisandra,2 BHK,1093.0,2.0,72.0,2.0,6587.374199451052
Horamavu Banaswadi,2 BHK,1200.0,2.0,45.0,2.0,3750.0
Magadi Road,5 Bedroom,5000.0,6.0,360.0,5.0,7200.0
Whitefield,3 BHK,2210.0,3.0,156.0,3.0,7058.823529411765
Uttarahalli,2 BHK,1150.0,2.0,70.0,2.0,6086.95652173913
Whitefield,2 BHK,1173.0,2.0,78.2,2.0,6666.666666666667
other,3 BHK,1717.0,3.0,120.0,3.0,6988.934187536401
Mallasandra,2 BHK,1325.0,2.0,65.0,2.0,4905.66037735849
Electronics City Phase 1,2 BHK,1025.0,2.0,90.0,2.0,8780.487804878048
Bellandur,2 BHK,1200.0,2.0,52.0,2.0,4333.333333333333
Whitefield,3 BHK,1740.0,4.0,130.0,3.0,7471.264367816092
Hennur Road,2 BHK,1232.0,2.0,88.0,2.0,7142.857142857143
Chandapura,2 Bedroom,1200.0,2.0,36.0,2.0,3000.0
5th Phase JP Nagar,1 BHK,552.0,1.0,23.5,1.0,4257.246376811594
other,2 Bedroom,1225.0,2.0,65.0,2.0,5306.122448979592
other,1 BHK,650.0,1.0,16.0,1.0,2461.538461538461
Padmanabhanagar,2 BHK,1067.0,2.0,52.0,2.0,4873.477038425492
Sarjapur,3 BHK,1364.0,2.0,56.0,3.0,4105.571847507332
Bannerghatta Road,2 BHK,1240.0,2.0,71.0,2.0,5725.806451612903
Hulimavu,2 Bedroom,1200.0,2.0,75.0,2.0,6250.0
Kaggadasapura,3 BHK,1540.0,3.0,75.0,3.0,4870.12987012987
other,3 BHK,1504.0,2.0,102.0,3.0,6781.914893617021
Hennur Road,3 BHK,2365.0,4.0,175.0,3.0,7399.577167019028
Sarjapura - Attibele Road,2 BHK,1308.0,2.0,37.0,2.0,2828.74617737003
Vijayanagar,2 BHK,864.0,2.0,45.0,2.0,5208.333333333333
Hoskote,3 BHK,1069.0,2.0,38.0,3.0,3554.724041159963
Hebbal,2 BHK,1333.0,2.0,100.0,2.0,7501.875468867217
other,4 BHK,1800.0,4.0,145.0,4.0,8055.555555555556
Devanahalli,4 Bedroom,6136.0,4.0,550.0,4.0,8963.49413298566
Thanisandra,3 BHK,1698.0,3.0,107.0,3.0,6301.531213191991
Raja Rajeshwari Nagar,2 BHK,1060.0,2.0,48.0,2.0,4528.301886792453
Hennur,2 BHK,1160.0,2.0,49.0,2.0,4224.137931034483
Hennur Road,2 BHK,1310.0,2.0,66.0,2.0,5038.167938931298
other,4 BHK,3000.0,4.0,240.0,4.0,8000.0
Varthur,3 BHK,2145.0,3.0,165.0,3.0,7692.307692307692
Marathahalli,3 BHK,1693.0,3.0,125.0,3.0,7383.343177790904
other,2 BHK,1150.0,2.0,60.0,2.0,5217.391304347826
Munnekollal,3 BHK,1385.0,2.0,66.5,3.0,4801.444043321299
Tumkur Road,2 BHK,1066.0,2.0,52.5,2.0,4924.953095684803
other,3 BHK,1625.0,3.0,92.0,3.0,5661.538461538462
Vittasandra,2 BHK,1246.0,2.0,67.4,2.0,5409.309791332264
Raja Rajeshwari Nagar,6 Bedroom,3900.0,6.0,195.0,6.0,5000.0
7th Phase JP Nagar,2 BHK,1000.0,2.0,70.65,2.0,7065.000000000001
Nagavarapalya,2 BHK,907.0,2.0,38.0,2.0,4189.636163175303
Ulsoor,4 Bedroom,3500.0,4.0,138.0,4.0,3942.857142857143
Varthur,3 BHK,1395.0,2.0,79.0,3.0,5663.082437275985
Banaswadi,5 Bedroom,1903.0,6.0,140.0,5.0,7356.8050446663165
other,3 BHK,1490.0,2.0,92.0,3.0,6174.496644295302
Yeshwanthpur,2 BHK,1144.0,2.0,67.0,2.0,5856.643356643357
other,4 Bedroom,2400.0,5.0,140.0,4.0,5833.333333333333
Hormavu,2 BHK,1143.0,2.0,53.0,2.0,4636.920384951881
Karuna Nagar,3 Bedroom,2500.0,3.0,190.0,3.0,7600.0
Whitefield,2 BHK,1216.0,2.0,75.0,2.0,6167.763157894737
other,2 BHK,1044.0,2.0,60.0,2.0,5747.126436781609
Prithvi Layout,2 BHK,1352.0,3.0,93.0,2.0,6878.698224852071
Bellandur,3 BHK,1785.0,3.0,120.0,3.0,6722.689075630252
Pai Layout,2 BHK,810.0,2.0,34.5,2.0,4259.259259259259
Banashankari Stage V,3 BHK,1650.0,3.0,51.98,3.0,3150.3030303030305
Babusapalaya,3 BHK,1410.0,2.0,65.0,3.0,4609.929078014185
Kanakpura Road,3 BHK,1591.0,3.0,122.0,3.0,7668.133249528599
other,3 BHK,1640.0,3.0,84.0,3.0,5121.951219512195
Yelahanka New Town,1 BHK,450.0,1.0,16.0,1.0,3555.555555555556
Kaggadasapura,2 BHK,1240.0,2.0,45.0,2.0,3629.032258064516
Dodda Nekkundi,2 BHK,1100.0,2.0,41.16,2.0,3741.8181818181815
Bisuvanahalli,2 BHK,845.0,2.0,33.0,2.0,3905.3254437869823
Kambipura,2 BHK,883.0,2.0,37.0,2.0,4190.260475651189
Kenchenahalli,3 BHK,1280.0,2.0,69.0,3.0,5390.625
Yelahanka,3 BHK,1614.0,3.0,95.0,3.0,5885.997521685255
Kasturi Nagar,2 BHK,1000.0,2.0,58.0,2.0,5800.0
Marathahalli,2 BHK,1196.0,2.0,57.9,2.0,4841.13712374582
Ambalipura,2 BHK,950.0,2.0,31.95,2.0,3363.157894736842
5th Phase JP Nagar,2 BHK,1200.0,2.0,51.0,2.0,4250.0
Doddathoguru,2 BHK,855.0,2.0,32.0,2.0,3742.690058479532
Chandapura,1 BHK,645.0,1.0,16.45,1.0,2550.3875968992247
Chandapura,2 BHK,922.0,2.0,36.0,2.0,3904.555314533623
other,3 BHK,1240.0,2.0,65.0,3.0,5241.935483870968
7th Phase JP Nagar,2 BHK,1070.0,2.0,42.0,2.0,3925.233644859813
other,2 BHK,1293.0,2.0,75.0,2.0,5800.46403712297
Nehru Nagar,2 BHK,967.0,2.0,41.1,2.0,4250.258531540848
other,2 BHK,860.0,2.0,65.5,2.0,7616.279069767442
Sarjapur  Road,2 BHK,1050.0,2.0,63.5,2.0,6047.619047619048
Marathahalli,3 BHK,1595.0,3.0,88.0,3.0,5517.241379310345
Sarjapur  Road,2 BHK,1350.0,2.0,102.0,2.0,7555.555555555556
Hebbal,2 BHK,1204.0,2.0,45.0,2.0,3737.5415282392023
Sarjapur  Road,4 BHK,2990.0,4.0,240.0,4.0,8026.755852842809
ITPL,2 BHK,1000.0,2.0,29.95,2.0,2995.0
Sarjapur  Road,3 BHK,1457.0,3.0,85.0,3.0,5833.905284831846
Haralur Road,2 BHK,1194.0,2.0,47.0,2.0,3936.348408710218
Bannerghatta,2 BHK,1100.0,2.0,66.0,2.0,6000.0
Whitefield,3 BHK,1655.0,3.0,120.0,3.0,7250.755287009063
Kanakpura Road,3 BHK,1691.2,3.0,115.0,3.0,6799.905392620624
Ramagondanahalli,2 BHK,1215.0,2.0,46.1,2.0,3794.238683127572
Hoodi,3 BHK,1639.0,3.0,129.0,3.0,7870.65283709579
Sarjapur  Road,3 BHK,1685.0,3.0,135.0,3.0,8011.86943620178
Hormavu,2 BHK,1100.0,2.0,38.0,2.0,3454.5454545454545
Marathahalli,3 BHK,2122.0,3.0,125.0,3.0,5890.66918001885
Vasanthapura,2 BHK,1050.0,2.0,47.0,2.0,4476.190476190476
Electronic City Phase II,3 BHK,1252.0,2.0,65.0,3.0,5191.693290734825
other,3 BHK,1374.0,2.0,88.0,3.0,6404.657933042213
8th Phase JP Nagar,1 BHK,500.0,1.0,30.0,1.0,6000.0
Hebbal,3 BHK,1355.0,3.0,83.87,3.0,6189.667896678967
Banashankari,2 BHK,1040.0,2.0,45.0,2.0,4326.923076923077
Sarjapur  Road,2 BHK,1350.0,2.0,68.0,2.0,5037.037037037037
Hennur,3 BHK,2400.0,3.0,135.0,3.0,5625.0
Haralur Road,3 BHK,1560.0,3.0,90.0,3.0,5769.2307692307695
Anandapura,2 BHK,1151.0,2.0,43.16,2.0,3749.7827975673326
Hennur Road,2 BHK,1015.0,2.0,50.0,2.0,4926.108374384236
