location,total_sqft,bath,price,BHK,price_per_sqft
Sarjapur,940.0,2.0,25.38,2,2700.0
Badavala Nagar,1145.0,2.0,57.0,2,4978.1659388646285
Bannerghatta Road,1302.5,2.0,67.73,2,5200.0
other,3317.5,5.0,268.5,4,8093.443858327054
Dasarahalli,1300.0,2.0,50.0,2,3846.153846153846
6th Phase JP Nagar,2040.0,3.0,200.0,3,9803.921568627453
Jigani,2420.0,4.0,190.0,4,7851.239669421488
Thubarahalli,1216.0,2.0,80.0,2,6578.9473684210525
Tumkur Road,1459.0,2.0,110.0,3,7539.410555174777
Badavala Nagar,1274.0,2.0,81.0,2,6357.927786499216
other,600.0,1.0,52.0,2,8666.666666666666
Malleshpalya,1430.0,2.0,69.5,3,4860.1398601398605
other,1670.0,3.0,160.0,3,9580.838323353291
Lakshminarayana Pura,1695.0,3.0,150.0,3,8849.557522123894
other,1410.0,2.0,75.0,2,5319.148936170212
Kengeri Satellite Town,1060.0,2.0,42.0,2,3962.264150943396
Hosa Road,880.0,2.0,50.0,2,5681.818181818182
Jalahalli,1083.0,2.0,32.49,2,3000.0
Doddakallasandra,1425.0,2.0,56.99,3,3999.2982456140353
Arekere,900.0,2.0,50.0,2,5555.555555555556
Thanisandra,693.0,1.0,34.3,1,4949.494949494949
Electronic City,2435.0,4.0,119.0,4,4887.063655030801
Iblur Village,1920.0,3.0,150.0,3,7812.5
Electronic City,630.0,1.0,47.0,1,7460.31746031746
Bisuvanahalli,1075.0,2.0,50.0,3,4651.162790697675
Hulimavu,1200.0,5.0,101.0,5,8416.666666666666
Nagavarapalya,705.0,1.0,55.0,1,7801.418439716312
other,1200.0,2.0,75.6,3,6299.999999999999
Mahadevpura,1532.0,2.0,62.0,2,4046.9973890339434
Rajiv Nagar,1330.0,2.0,93.0,2,6992.481203007519
Kasavanhalli,1105.0,2.0,42.0,2,3800.9049773755655
5th Phase JP Nagar,1256.0,2.0,62.8,2,5000.0
7th Phase JP Nagar,1000.0,2.0,53.0,2,5300.0
Electronic City Phase II,1000.0,2.0,28.88,2,2888.0
Uttarahalli,1737.0,2.0,95.0,3,5469.199769717904
Electronic City Phase II,1000.0,2.0,28.88,2,2888.0
other,2100.0,4.0,150.0,4,7142.857142857143
Mysore Road,883.0,2.0,50.0,2,5662.514156285391
Haralur Road,1243.0,2.0,46.0,2,3700.724054706356
BTM Layout,1776.0,2.0,75.0,3,4222.972972972973
Rajaji Nagar,3730.0,4.0,370.0,4,9919.571045576407
Harlur,1459.0,3.0,135.0,3,9252.912954078136
Thanisandra,2259.0,5.0,135.0,4,5976.095617529881
Gubbalala,1008.0,2.0,32.25,2,3199.404761904762
Yelahanka,602.0,1.0,26.0,1,4318.936877076412
Marathahalli,1710.0,3.0,100.0,3,5847.953216374269
JP Nagar,1500.0,2.0,82.0,3,5466.666666666667
Judicial Layout,1100.0,2.0,53.0,3,4818.181818181818
Raja Rajeshwari Nagar,1151.0,2.0,49.0,2,4257.167680278019
Kathriguppe,1350.0,3.0,78.3,3,5800.0
Bannerghatta Road,1200.0,2.0,65.0,2,5416.666666666667
Thanisandra,1265.0,2.0,78.0,2,6166.00790513834
Sarjapur  Road,1700.0,3.0,93.5,3,5500.0
other,1550.0,4.0,120.0,4,7741.935483870968
R.T. Nagar,1560.0,3.0,125.0,3,8012.820512820513
Haralur Road,1243.0,2.0,46.0,2,3700.724054706356
Doddakallasandra,1010.0,2.0,40.39,2,3999.009900990099
Tumkur Road,1416.0,3.0,94.0,3,6638.418079096045
7th Phase JP Nagar,1680.0,3.0,125.0,3,7440.476190476191
Kanakpura Road,1507.0,2.0,95.0,3,6303.915063039151
Hennur Road,1949.0,3.0,133.0,3,6824.012314007183
Electronic City Phase II,1000.0,2.0,28.88,2,2888.0
other,905.0,2.0,50.0,2,5524.861878453039
Hosakerehalli,2480.0,3.0,245.0,3,9879.032258064515
Kaikondrahalli,1605.0,3.0,105.0,3,6542.056074766355
Bommanahalli,1290.0,2.0,73.0,2,5658.914728682171
Yelahanka,1100.0,2.0,60.0,2,5454.545454545455
Vishveshwarya Layout,2100.0,6.0,92.0,6,4380.952380952381
Banashankari Stage II,500.0,2.0,55.0,2,11000.0
other,550.0,1.0,23.0,1,4181.818181818182
Vishveshwarya Layout,7000.0,4.0,210.0,4,3000.0
other,1080.0,2.0,75.0,3,6944.444444444444
HBR Layout,1783.0,3.0,125.0,3,7010.656197420079
Haralur Road,1520.0,2.0,90.0,3,5921.052631578948
Sarjapur  Road,1060.0,2.0,55.0,2,5188.679245283019
Raja Rajeshwari Nagar,1267.0,2.0,54.35,2,4289.6606156274665
Karuna Nagar,2500.0,3.0,180.0,3,7200.0
Bannerghatta Road,1240.0,2.0,65.0,2,5241.935483870968
NGR Layout,1019.0,2.0,45.9,2,4504.41609421001
other,1537.0,3.0,110.0,3,7156.79895901106
Raja Rajeshwari Nagar,1100.0,2.0,50.0,2,4545.454545454545
other,1750.0,3.0,150.0,3,8571.42857142857
9th Phase JP Nagar,1466.0,2.0,71.0,2,4843.110504774898
Kengeri,540.0,1.0,22.5,1,4166.666666666667
Hebbal,1987.0,4.0,165.0,3,8303.975842979366
Hoodi,1305.0,2.0,75.0,2,5747.126436781609
Sarjapur,2100.0,3.0,125.0,4,5952.380952380952
Horamavu Banaswadi,1225.0,2.0,49.5,2,4040.816326530612
Hennur,1255.0,2.0,55.5,2,4422.310756972111
other,1191.0,2.0,90.0,2,7556.675062972292
Uttarahalli,3600.0,6.0,303.0,6,8416.666666666666
Marsur,497.0,1.0,17.0,2,3420.523138832998
Hennur Road,1232.0,2.0,89.0,2,7224.025974025974
Thanisandra,1732.0,3.0,85.73,3,4949.769053117783
Yelahanka,1614.0,2.0,100.0,3,6195.786864931846
Magadi Road,600.0,1.0,22.0,2,3666.6666666666665
Thigalarapalya,2072.0,4.0,155.0,3,7480.694980694981
other,2849.0,5.0,250.0,4,8775.008775008775
Whitefield,1216.0,2.0,75.0,2,6167.763157894737
Lingadheeranahalli,2245.0,4.0,154.0,4,6859.688195991092
Bannerghatta Road,1476.0,3.0,125.0,3,8468.834688346884
Ambedkar Nagar,1852.0,3.0,130.0,3,7019.438444924406
Jakkur,2423.0,4.0,160.0,3,6603.38423442014
Marathahalli,1152.0,2.0,90.0,2,7812.5
Harlur,1762.0,3.0,133.0,3,7548.240635641317
Kammasandra,1400.0,3.0,92.0,3,6571.428571428572
Rachenahalli,1530.0,2.0,74.4,3,4862.745098039216
Raja Rajeshwari Nagar,1185.0,2.0,40.17,2,3389.8734177215188
Yelahanka,1890.0,3.0,108.0,3,5714.285714285715
Varthur Road,1247.0,2.0,58.0,3,4651.162790697675
Bellandur,1201.0,2.0,59.99,2,4995.004163197335
Electronic City Phase II,1165.0,2.0,30.29,2,2600.0
Bommanahalli,1100.0,1.0,55.0,2,5000.0
9th Phase JP Nagar,1890.0,2.0,93.0,3,4920.6349206349205
Battarahalli,1165.0,2.0,43.0,2,3690.987124463519
other,827.0,2.0,45.0,2,5441.354292623942
Electronics City Phase 1,635.0,1.0,26.0,1,4094.488188976378
Whitefield,4000.0,4.0,380.0,4,9500.0
Jakkur,1819.18,3.0,168.0,3,9234.930023417144
Kanakapura,1500.0,3.0,125.0,3,8333.333333333334
Bommasandra,1020.0,2.0,40.89,2,4008.823529411765
Talaghattapura,1856.0,3.0,135.0,3,7273.706896551724
Haralur Road,1300.0,2.0,60.0,2,4615.384615384615
Bellandur,1325.0,2.0,65.0,2,4905.66037735849
Ramamurthy Nagar,700.0,2.0,33.0,2,4714.285714285715
7th Phase JP Nagar,1675.0,2.0,135.0,3,8059.701492537313
Uttarahalli,1160.0,2.0,45.0,2,3879.310344827586
Sahakara Nagar,1914.0,3.0,149.0,3,7784.743991640544
BTM Layout,1458.0,3.0,79.0,3,5418.38134430727
other,1200.0,4.0,115.0,5,9583.333333333334
Babusapalaya,1105.0,2.0,40.0,2,3619.9095022624433
Akshaya Nagar,1662.0,3.0,90.0,3,5415.162454873646
Yelahanka,1556.0,3.0,86.0,3,5526.9922879177375
Jigani,918.0,2.0,50.0,2,5446.623093681917
Sarjapur  Road,1455.0,2.0,98.0,3,6735.395189003437
other,1205.0,2.0,70.0,2,5809.128630705394
BEML Layout,1194.0,2.0,65.0,2,5443.886097152429
Laggere,1200.0,2.0,75.0,2,6250.0
Subramanyapura,929.0,2.0,56.0,2,6027.987082884823
Frazer Town,3436.0,5.0,341.0,4,9924.330616996507
7th Phase JP Nagar,1035.0,2.0,39.33,2,3800.0
8th Phase JP Nagar,2100.0,4.0,92.0,4,4380.952380952381
Channasandra,1065.0,2.0,40.47,2,3800.0
Bannerghatta Road,1532.5,3.0,84.29,3,5500.163132137031
Kengeri,1500.0,6.0,150.0,6,10000.0
other,1200.0,5.0,99.0,5,8250.0
Hormavu,1093.0,2.0,32.78,2,2999.085086916743
Anandapura,1250.0,2.0,45.0,2,3600.0
Marathahalli,1680.0,3.0,105.0,3,6250.0
Nagarbhavi,1146.0,2.0,50.0,2,4363.001745200698
Gottigere,1435.0,2.0,62.0,3,4320.557491289199
Devanahalli,658.0,1.0,26.91,1,4089.665653495441
Marathahalli,1910.0,3.0,119.0,3,6230.366492146597
Yelahanka,1610.0,4.0,85.0,3,5279.503105590062
Hulimavu,1127.0,2.0,65.0,2,5767.524401064774
Mysore Road,1155.0,2.0,51.0,2,4415.584415584415
other,2200.0,4.0,160.0,3,7272.727272727273
Billekahalli,2400.0,3.0,150.0,3,6250.0
Chandapura,876.0,2.0,29.5,2,3367.5799086757997
Kadugodi,1314.0,2.0,83.0,2,6316.590563165905
Rachenahalli,690.0,1.0,39.8,1,5768.115942028985
Bommasandra,920.0,2.0,37.2,2,4043.478260869566
Sarjapur  Road,1850.0,3.0,140.0,3,7567.567567567567
Electronic City,1073.0,2.0,60.0,2,5591.798695246971
Kalyan nagar,1198.0,2.0,65.0,2,5425.709515859767
other,1900.0,3.0,155.0,3,8157.894736842105
Ramagondanahalli,1910.0,3.0,142.0,3,7434.55497382199
Mysore Road,1003.0,2.0,43.0,2,4287.138584247258
other,1200.0,1.0,95.0,2,7916.666666666667
Hosur Road,1689.0,3.0,103.0,3,6098.283007696862
Electronic City Phase II,1031.0,2.0,53.0,2,5140.640155189137
other,1100.0,2.0,61.0,2,5545.454545454545
Hennur Road,1250.0,2.0,77.88,3,6230.4
other,1100.0,2.0,110.0,2,10000.0
Electronic City,1500.0,2.0,78.0,3,5200.0
other,1942.0,3.0,155.0,3,7981.462409886714
Haralur Road,1985.0,3.0,130.0,3,6549.11838790932
Sarjapur  Road,950.0,1.0,39.9,1,4200.0
other,1200.0,4.0,80.0,3,6666.666666666667
Green Glen Layout,1752.0,3.0,105.0,3,5993.1506849315065
Abbigere,1200.0,3.0,120.0,4,10000.0
Old Madras Road,1480.0,2.0,84.0,3,5675.675675675676
Sarjapur  Road,1826.0,3.0,130.0,3,7119.386637458927
8th Phase JP Nagar,1035.0,2.0,39.33,2,3800.0
Kasavanhalli,1667.0,3.0,92.0,3,5518.896220755849
Thanisandra,934.0,2.0,55.0,2,5888.650963597431
Hosur Road,3600.0,5.0,180.0,5,5000.0
Uttarahalli,1280.0,2.0,60.0,3,4687.5
other,1515.0,3.0,90.0,3,5940.59405940594
Thigalarapalya,1830.0,4.0,150.0,3,8196.72131147541
BTM Layout,935.0,2.0,51.5,2,5508.021390374332
Jakkur,2197.0,3.0,136.0,3,6190.259444697314
Jakkur,1125.0,2.0,65.0,2,5777.777777777777
Thubarahalli,1200.0,2.0,79.0,2,6583.333333333333
Seegehalli,920.0,2.0,27.0,2,2934.782608695652
Yelahanka,651.0,1.0,17.5,1,2688.1720430107525
Chikkabanavar,600.0,1.0,25.0,2,4166.666666666667
Chandapura,645.0,1.0,16.45,1,2550.3875968992247
Electronics City Phase 1,1190.0,2.0,68.0,2,5714.285714285715
KR Puram,1200.0,1.0,65.0,2,5416.666666666667
Kundalahalli,7000.0,4.0,550.0,4,7857.142857142857
Yelahanka New Town,500.0,2.0,24.0,1,4800.0
Bommasandra Industrial Area,1250.0,3.0,50.0,3,4000.0
Ambalipura,3300.0,4.0,329.0,4,9969.69696969697
Rajaji Nagar,1357.0,2.0,130.0,2,9579.955784819454
Hosakerehalli,925.0,2.0,46.5,2,5027.027027027027
8th Phase JP Nagar,909.0,2.0,40.9,2,4499.4499449945
Brookefield,1100.0,2.0,55.0,2,5000.0
Vidyaranyapura,1100.0,2.0,54.0,2,4909.090909090909
Subramanyapura,975.0,2.0,65.0,2,6666.666666666667
Raja Rajeshwari Nagar,1306.0,2.0,44.17,2,3382.08269525268
other,1200.0,4.0,95.0,4,7916.666666666667
Kalena Agrahara,610.0,1.0,39.0,1,6393.44262295082
Ramamurthy Nagar,1125.0,2.0,47.0,2,4177.777777777777
Bhoganhalli,1447.0,2.0,75.97,2,5250.172771250864
Horamavu Banaswadi,1272.0,2.0,51.5,2,4048.74213836478
1st Phase JP Nagar,840.0,2.0,50.0,1,5952.380952380952
Hennur Road,2502.0,4.0,180.0,4,7194.244604316546
Rayasandra,583.0,1.0,26.9,1,4614.065180102916
Kanakapura,2200.0,3.0,121.0,3,5500.0
Whitefield,750.0,1.0,51.0,1,6800.0
other,1200.0,1.0,69.0,1,5750.0
Hormavu,1260.0,2.0,35.0,2,2777.777777777778
Hosakerehalli,2480.0,4.0,260.0,3,10483.870967741936
Vishwapriya Layout,1250.0,3.0,38.0,3,3040.0
Kaggadasapura,1500.0,3.0,75.0,3,5000.0
Banashankari Stage V,1510.0,3.0,47.57,3,3150.3311258278145
7th Phase JP Nagar,1187.0,2.0,59.0,2,4970.513900589722
Kundalahalli,1120.0,2.0,53.76,2,4800.0
other,1717.0,3.0,99.0,3,5765.87070471753
Kasturi Nagar,1100.0,2.0,58.0,2,5272.727272727273
other,1200.0,1.0,48.0,1,4000.0
Kothanur,1500.0,1.0,75.0,1,5000.0
Haralur Road,1255.0,2.0,90.0,3,7171.314741035857
5th Phase JP Nagar,1220.0,2.0,88.0,2,7213.11475409836
Electronic City Phase II,1065.0,2.0,30.88,2,2899.5305164319248
Bellandur,1281.0,2.0,87.0,2,6791.569086651054
Kaggadasapura,1215.0,2.0,43.0,2,3539.0946502057614
Ananth Nagar,1200.0,3.0,87.0,4,7250.0
Mysore Road,1237.0,2.0,73.0,2,5901.3742926434925
Lakshminarayana Pura,1300.0,2.0,70.0,2,5384.615384615385
Banashankari,1186.0,2.0,65.0,2,5480.607082630691
Kengeri,750.0,2.0,35.5,2,4733.333333333333
Varthur,1083.0,2.0,28.0,2,2585.410895660203
other,1430.0,2.0,78.65,3,5500.000000000001
Thanisandra,1056.0,2.0,68.0,2,6439.393939393939
Banashankari,1650.0,3.0,101.0,3,6121.212121212121
Rayasandra,1198.0,2.0,54.0,2,4507.512520868114
other,1190.0,2.0,70.0,2,5882.35294117647
other,2690.0,4.0,185.0,4,6877.323420074349
Kanakapura,1340.0,2.0,65.0,2,4850.746268656716
Yelahanka,1260.0,2.0,59.2,2,4698.412698412699
Talaghattapura,2254.0,3.0,153.0,3,6787.93256433008
JP Nagar,820.0,2.0,45.0,2,5487.804878048781
Electronic City,1296.0,2.0,65.0,2,5015.432098765432
Uttarahalli,1190.0,2.0,53.55,2,4500.0
Whitefield,1173.0,2.0,77.0,2,6564.364876385337
Sarjapura - Attibele Road,1800.0,3.0,90.0,3,5000.0
Yelahanka,1102.0,2.0,52.0,2,4718.693284936479
Sarjapur,913.0,2.0,36.0,2,3943.044906900328
Billekahalli,2968.0,3.0,225.0,3,7580.862533692722
Hosur Road,1345.0,2.0,106.0,2,7881.0408921933085
other,1594.0,3.0,99.0,3,6210.790464240903
other,1250.0,2.0,68.0,2,5440.0
Haralur Road,1056.0,2.0,60.0,2,5681.818181818182
Whitefield,1200.0,3.0,68.4,3,5700.000000000001
other,1290.0,1.0,77.5,2,6007.751937984496
other,1464.0,2.0,145.0,2,9904.371584699453
Gollarapalya Hosahalli,861.0,2.0,36.5,2,4239.256678281068
Kundalahalli,1047.0,2.0,82.62,2,7891.117478510028
other,1200.0,2.0,75.0,2,6250.0
Ramamurthy Nagar,1000.0,2.0,62.0,2,6200.0
Lingadheeranahalli,1682.0,3.0,113.0,3,6718.192627824019
Harlur,1756.0,3.0,131.0,3,7460.136674259681
other,1050.0,4.0,90.0,4,8571.42857142857
Vittasandra,1238.0,2.0,67.32,2,5437.802907915992
Dasanapura,814.0,2.0,42.0,2,5159.70515970516
Dodda Nekkundi,1145.0,2.0,46.5,2,4061.1353711790393
Varthur,965.0,2.0,34.0,2,3523.316062176166
1st Phase JP Nagar,1590.0,3.0,131.0,3,8238.993710691824
Begur Road,644.0,1.0,40.0,1,6211.180124223602
Indira Nagar,1260.0,2.0,100.0,2,7936.507936507936
Rayasandra,1555.0,3.0,75.17,3,4834.083601286174
Kaggadasapura,1225.0,2.0,48.0,2,3918.367346938776
Thanisandra,1595.0,3.0,110.0,3,6896.551724137931
Raja Rajeshwari Nagar,1196.0,2.0,40.44,2,3381.2709030100336
Yelahanka,1859.0,3.0,108.0,3,5809.575040344271
9th Phase JP Nagar,1079.0,2.0,60.0,2,5560.704355885079
Shivaji Nagar,550.0,1.0,27.0,2,4909.090909090909
CV Raman Nagar,1198.0,2.0,60.0,2,5008.347245409015
Thigalarapalya,1830.0,4.0,135.0,3,7377.049180327869
Banashankari Stage VI,1160.0,2.0,59.0,2,5086.206896551724
other,1485.0,2.0,156.0,3,10505.050505050503
other,2070.0,3.0,135.0,3,6521.739130434783
Kannamangala,957.0,2.0,52.5,2,5485.8934169279
Bannerghatta Road,1268.0,2.0,69.0,2,5441.640378548896
Bannerghatta Road,1450.0,2.0,87.0,3,6000.0
Uttarahalli,1330.0,2.0,57.0,3,4285.714285714285
Horamavu Banaswadi,1272.0,2.0,51.5,2,4048.74213836478
Chikkalasandra,1075.0,2.0,46.76,2,4349.767441860465
other,800.0,2.0,55.0,2,6875.0
Vasanthapura,995.0,2.0,34.82,2,3499.497487437186
Haralur Road,1140.0,2.0,42.0,2,3684.2105263157896
other,1480.0,2.0,125.0,3,8445.945945945947
Talaghattapura,2106.0,3.0,148.0,3,7027.540360873694
Marathahalli,1602.0,2.0,104.0,2,6491.8851435705365
Sarjapur  Road,1660.0,2.0,116.0,3,6987.951807228916
Electronic City Phase II,1549.0,3.0,80.0,3,5164.622336991608
Marathahalli,700.0,1.0,38.0,1,5428.571428571428
Balagere,1012.0,2.0,64.0,2,6324.110671936759
Marathahalli,1469.0,3.0,89.0,3,6058.543226684819
Electronic City Phase II,1065.0,2.0,56.13,2,5270.422535211268
Thanisandra,1411.0,3.0,93.15,3,6601.700921332388
Pai Layout,1400.0,2.0,57.5,2,4107.142857142857
Haralur Road,1245.0,2.0,62.0,2,4979.919678714859
Choodasandra,1115.0,2.0,50.0,2,4484.304932735426
Vidyaranyapura,1000.0,2.0,35.0,2,3500.0
other,1500.0,2.0,130.0,2,8666.666666666666
Chandapura,645.0,1.0,16.45,1,2550.3875968992247
Kasavanhalli,1494.0,3.0,82.0,3,5488.621151271754
Bhoganhalli,1949.0,3.0,129.0,3,6618.778860954336
BTM Layout,1020.0,2.0,46.5,2,4558.823529411765
Mysore Road,883.0,2.0,45.0,2,5096.262740656852
Old Airport Road,3200.0,4.0,280.0,4,8750.0
Uttarahalli,1680.0,6.0,125.0,6,7440.476190476191
other,2010.0,3.0,125.0,3,6218.905472636816
Yeshwanthpur,1240.0,2.0,80.0,2,6451.612903225807
6th Phase JP Nagar,1213.0,2.0,63.0,2,5193.734542456719
Bannerghatta Road,2932.0,5.0,195.0,4,6650.75034106412
Whitefield,3425.0,5.0,250.0,4,7299.270072992701
Gottigere,945.0,2.0,45.0,2,4761.9047619047615
other,1504.0,2.0,100.0,3,6648.936170212766
Lakshminarayana Pura,1569.0,3.0,150.0,3,9560.229445506691
Harlur,1755.0,3.0,130.0,3,7407.407407407408
Vijayanagar,1760.0,3.0,140.0,3,7954.545454545455
Hoodi,1240.0,2.0,43.94,2,3543.548387096774
Electronics City Phase 1,1450.0,3.0,72.54,3,5002.758620689656
5th Phase JP Nagar,1000.0,2.0,48.0,2,4800.0
Shivaji Nagar,3820.0,1.0,306.0,1,8010.471204188481
other,2000.0,4.0,145.0,5,7250.0
Choodasandra,1215.0,2.0,59.0,2,4855.9670781893
Yelachenahalli,1330.0,3.0,73.5,3,5526.315789473684
Raja Rajeshwari Nagar,1178.0,2.0,75.0,2,6366.723259762309
other,1602.0,2.0,165.0,3,10299.625468164792
other,1200.0,4.0,130.0,4,10833.333333333334
Parappana Agrahara,1194.0,2.0,46.0,2,3852.596314907873
Dasarahalli,2400.0,2.0,152.0,3,6333.333333333333
Sarjapur  Road,1700.0,3.0,108.0,3,6352.941176470588
Jigani,1200.0,3.0,65.0,3,5416.666666666667
TC Palaya,900.0,2.0,55.0,2,6111.111111111111
CV Raman Nagar,1560.0,2.0,85.0,2,5448.717948717948
Kambipura,883.0,2.0,44.0,2,4983.012457531144
Kengeri Satellite Town,750.0,2.0,33.0,2,4400.0
Brookefield,2400.0,3.0,140.0,4,5833.333333333333
Hormavu,1030.0,2.0,49.35,2,4791.26213592233
7th Phase JP Nagar,1850.0,3.0,155.0,3,8378.378378378378
Hennur Road,1831.0,3.0,110.0,3,6007.646095030038
7th Phase JP Nagar,1000.0,2.0,61.0,2,6100.0
Kadugodi,925.0,1.0,40.7,1,4400.000000000001
Electronic City,1140.0,2.0,70.93,2,6221.9298245614045
other,1145.0,2.0,58.4,2,5100.436681222707
other,1862.0,3.0,120.0,3,6444.68313641246
 Devarachikkanahalli,947.0,2.0,43.0,2,4540.654699049631
Kalena Agrahara,1120.0,2.0,40.0,2,3571.428571428572
other,2700.0,3.0,200.0,3,7407.407407407408
Basavangudi,1100.0,2.0,93.0,2,8454.545454545454
Bommenahalli,1355.0,3.0,135.0,4,9963.09963099631
other,1677.0,3.0,98.0,3,5843.768634466309
Uttarahalli,1560.0,3.0,74.0,3,4743.589743589743
Arekere,2060.0,3.0,150.0,3,7281.553398058252
Harlur,1864.0,3.0,140.0,3,7510.729613733905
Electronics City Phase 1,638.0,1.0,32.0,1,5015.673981191223
Chandapura,937.0,2.0,30.0,2,3201.7075773746
other,1490.0,2.0,115.0,3,7718.120805369127
Thigalarapalya,1000.0,2.0,48.53,2,4853.0
Horamavu Agara,1060.0,2.0,37.0,2,3490.566037735849
Kundalahalli,1047.0,2.0,91.0,2,8691.499522445081
Basaveshwara Nagar,1200.0,2.0,80.0,2,6666.666666666667
Akshaya Nagar,1420.0,2.0,75.0,3,5281.69014084507
Sarjapur  Road,1539.0,3.0,85.0,3,5523.066926575699
Seegehalli,1553.0,3.0,68.0,3,4378.62202189311
Electronic City Phase II,920.0,2.0,26.0,2,2826.086956521739
other,1740.0,3.0,120.0,3,6896.551724137931
OMBR Layout,1855.0,3.0,145.0,3,7816.711590296496
Kundalahalli,1724.0,3.0,146.0,3,8468.677494199535
other,1020.0,2.0,60.0,2,5882.35294117647
Thubarahalli,1200.0,2.0,80.0,2,6666.666666666667
Haralur Road,1140.0,2.0,58.0,2,5087.719298245615
other,550.0,1.0,16.0,1,2909.090909090909
Sarjapur  Road,1489.0,2.0,82.0,3,5507.051712558764
Haralur Road,1140.0,2.0,42.0,2,3684.2105263157896
Lingadheeranahalli,1682.0,3.0,114.0,3,6777.645659928657
Panathur,1198.0,2.0,86.26,2,7200.33388981636
other,3664.0,3.0,325.0,3,8870.087336244542
Kodichikkanahalli,1026.0,2.0,45.0,2,4385.964912280701
other,690.0,2.0,42.0,2,6086.95652173913
Sarjapur  Road,539.0,1.0,45.0,1,8348.794063079777
Sarakki Nagar,1200.0,4.0,85.0,4,7083.333333333333
Attibele,2400.0,3.0,120.0,3,5000.0
Thubarahalli,1200.0,2.0,79.55,2,6629.166666666667
Gottigere,1500.0,4.0,100.0,5,6666.666666666667
Brookefield,1225.0,2.0,66.5,2,5428.571428571428
Bommanahalli,1350.0,2.0,72.0,2,5333.333333333333
other,1520.0,3.0,111.0,3,7302.631578947368
Rachenahalli,1200.0,2.0,50.0,2,4166.666666666667
other,1200.0,4.0,86.0,4,7166.666666666667
Yelahanka,1322.0,2.0,80.0,2,6051.437216338881
Whitefield,2173.0,3.0,128.0,3,5890.473999079613
Sarjapur  Road,1200.0,2.0,75.0,2,6250.0
Thubarahalli,1200.0,2.0,47.0,2,3916.6666666666665
Mysore Road,1170.0,2.0,65.0,2,5555.555555555556
NRI Layout,1125.0,2.0,45.56,2,4049.777777777778
Devanahalli,698.5,1.0,28.57,1,4090.1932712956336
other,1250.0,2.0,90.0,2,7200.0
Chandapura,1025.0,2.0,27.68,2,2700.487804878049
other,1900.0,2.0,190.0,3,10000.0
Electronics City Phase 1,1175.0,2.0,64.98,2,5530.212765957447
Electronics City Phase 1,585.0,1.0,21.0,1,3589.74358974359
Jigani,3170.0,5.0,230.0,4,7255.520504731861
other,1602.0,2.0,170.0,3,10611.735330836456
Sarjapur  Road,2145.0,3.0,180.0,3,8391.608391608392
Bannerghatta Road,960.0,2.0,58.0,2,6041.666666666667
NGR Layout,907.0,1.0,38.0,1,4189.636163175303
Old Madras Road,1210.0,2.0,74.0,2,6115.702479338843
other,1230.0,2.0,70.0,2,5691.056910569106
5th Phase JP Nagar,1350.0,2.0,75.0,3,5555.555555555556
Kenchenahalli,1150.0,2.0,58.0,2,5043.478260869565
Sarjapur,1404.0,2.0,53.35,3,3799.8575498575497
OMBR Layout,1050.0,2.0,48.0,2,4571.428571428572
Hormavu,1018.0,2.0,50.8,2,4990.176817288801
Hoskote,1200.0,3.0,57.0,3,4750.0
other,1600.0,3.0,95.0,3,5937.5
9th Phase JP Nagar,1480.0,2.0,80.0,2,5405.405405405405
Kaval Byrasandra,480.0,1.0,25.0,1,5208.333333333333
other,600.0,2.0,23.0,1,3833.3333333333335
CV Raman Nagar,1590.0,2.0,85.0,3,5345.911949685535
Nagavara,936.0,2.0,40.2,2,4294.871794871795
Banashankari,1181.0,2.0,75.0,2,6350.550381033023
Kengeri,1741.0,3.0,80.0,3,4595.060310166571
JP Nagar,1750.0,3.0,123.0,3,7028.571428571428
Varthur Road,1050.0,2.0,42.7,2,4066.6666666666665
Tumkur Road,1027.0,2.0,60.0,2,5842.259006815969
Sahakara Nagar,1000.0,2.0,60.0,2,6000.0
Varthur,1120.0,2.0,44.24,2,3950.0
other,1200.0,2.0,85.0,2,7083.333333333333
Kasturi Nagar,1570.0,3.0,110.0,3,7006.369426751592
Koramangala,1500.0,3.0,135.0,3,9000.0
Frazer Town,1315.0,2.0,140.0,2,10646.38783269962
Electronic City Phase II,1140.0,2.0,33.84,2,2968.421052631579
Banashankari,1105.0,2.0,90.0,2,8144.796380090498
Whitefield,905.0,1.0,62.0,1,6850.828729281768
Kudlu Gate,1185.0,2.0,50.0,2,4219.4092827004215
Koramangala,1083.0,2.0,100.0,2,9233.610341643584
Rayasandra,1458.0,3.0,60.0,3,4115.22633744856
Hormavu,1555.0,3.0,75.0,3,4823.15112540193
Kudlu,1024.0,2.0,44.0,2,4296.875
Parappana Agrahara,1194.0,2.0,47.0,2,3936.348408710218
Kanakapura,1450.0,3.0,75.0,3,5172.413793103448
Seegehalli,1639.0,3.0,120.0,3,7321.537522879805
Whitefield,1870.0,3.0,138.0,3,7379.679144385027
Hennur Road,1232.0,2.0,87.0,2,7061.688311688312
Kasavanhalli,1719.0,3.0,184.0,3,10703.89761489238
other,2000.0,4.0,130.0,3,6500.0
Jakkur,1230.0,2.0,79.0,2,6422.764227642277
other,1350.0,4.0,140.0,4,10370.37037037037
KR Puram,1076.0,2.0,67.0,2,6226.7657992565055
Kodigehaali,2120.0,3.0,177.0,3,8349.056603773584
Horamavu Agara,1107.83,2.0,41.51,2,3746.964787016059
